Input,Output
CC(Oc1cc(-n2cnc3cnc(COS(C)(=O)=O)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F.CN1CCNCC1>ClCCl,CC(Oc1cc(-n2cnc3cnc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
CC=CC(CO)CO.O=CC1CCC(c2ccc(F)c(F)c2)CC1>Cc1ccccc1.O=S(=O)(O)O,CC=CC1COC(C2CCC(c3ccc(F)c(F)c3)CC2)OC1
CC1(C)C(=O)N(Br)C(=O)N1Br.FC(F)(F)c1cccc(C(F)(F)F)c1>CC(=O)O,FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1
Cc1nc(C(=O)N2C(CN)CC3CC32)c(-c2cccc(F)c2)s1.Cn1cc(C(=O)O)c2ccccc21>,Cc1nc(C(=O)N2C(CNC(=O)c3cn(C)c4ccccc34)CC3CC32)c(-c2cccc(F)c2)s1
CCOC(=O)c1ccc(NC(=O)c2ccc3c(c2)C(c2ccc(C)cc2)=CCC3(C)C)cc1F>C1CCOC1.CCO.[Na+].[OH-],Cc1ccc(C2=CCC(C)(C)c3ccc(C(=O)Nc4ccc(C(=O)O)c(F)c4)cc32)cc1
C1CNC1.CCOC(=O)c1cn(Cc2ccc(OC)cc2OC)c2nc(Cl)c(F)c(C)c2c1=O>ClCCl.O=C([O-])[O-].[K+].[K+],CCOC(=O)c1cn(Cc2ccc(OC)cc2OC)c2nc(N3CCC3)c(F)c(C)c2c1=O
CC(=O)OC(C)=O.Nc1nc(Cl)c2[nH]cnc2n1>CCN(CC)CC.Cc1ccccc1,CC(=O)n1cnc2c(Cl)nc(N)nc21
CC(=O)Nc1ccc(C(=O)C(C)=NO)cc1.NNC(N)=S>CC(=O)O.CO.O,CC(=O)Nc1ccc(C(=NNC(N)=S)C(C)=NO)cc1
CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)O)c(OC)cc3C)cc12.NC1(c2cncnc2)CC1>CCN=C=NCCCN(C)C.Cl.ClCCl.O.On1nnc2ccccc21,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5cncnc5)CC4)c(OC)cc3C)cc12
CC(=O)N1CCC(c2csc(Nc3ncc(Br)cc3Oc3ccccc3)n2)CC1.COC(=O)CCS>C1COCCO1.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.CCN(C(C)C)C(C)C.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd],COC(=O)CCSc1cnc(Nc2nc(C3CCN(C(C)=O)CC3)cs2)c(Oc2ccccc2)c1
CC(C)(C)OC(=O)NC1CCC(C(=O)NC2CC2)CC1.Cl>C1COCCO1,NC1CCC(C(=O)NC2CC2)CC1
CC(C)OC(=O)CO.O=C(OCCCl)C(O)Cc1ccccc1>CC(C)(C)c1ccccc1.CCOCC,CC(C)OC(=O)COC(=O)C(O)Cc1ccccc1
CCOC(=O)c1cnc2cc(OC)ccc2c1>CCO.Cl.[Na+].[OH-],COc1ccc2cc(C(=O)O)cnc2c1
CC(C)(C)C(=O)Cl.Nc1ccc(Cl)cc1>Cl.c1ccncc1,CC(C)(C)C(=O)Nc1ccc(Cl)cc1
BrCc1ccccc1.CCOC(=O)CCCCCS(=O)(=O)Nc1ccccc1>COCCOC.O.[H-].[Na+],CCOC(=O)CCCCCS(=O)(=O)N(Cc1ccccc1)c1ccccc1
Fc1ccc(CBr)cc1.O=C1CCC(=O)N1>CC(C)=O.O=C([O-])[O-].[K+].[K+],O=C1CCC(=O)N1Cc1ccc(F)cc1
Nc1c(Cl)cc(CC(O)C(=O)O)cc1C(F)(F)F.O=C1Nc2ccccc2CCN1C1CCN(C(=O)n2ccnc2)CC1>C1CCOC1.CC(C)(C)[O-].CC(C)=O.CCC(C)(C)O.Cl.O.[K+],Nc1c(Cl)cc(CC(OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)O)cc1C(F)(F)F
CCc1c(C2CCN(C(=O)OC(C)(C)C)CC2)c2ccc(F)cc2n1-c1ccccc1>ClCCl.O=C(O)C(F)(F)F,CCc1c(C2CCNCC2)c2ccc(F)cc2n1-c1ccccc1
CC(C)C1OCC(C)(COCc2ccccc2)CO1>CO.[Na+].[OH-],CC(CO)(CO)COCc1ccccc1
CCCN.O=C(O)CCC(=O)C(=O)O>,CCCNC(=O)C(=O)CCC(=O)O
C#CCN1CCOCC1.CCOC(=O)COc1ccc(Sc2cc(Br)cc(Oc3ccc(C(F)(F)F)cn3)c2)cc1C>CCOC(=O)COc1ccc(Sc2cc(C#Cc3ccc(CO)cc3)cc(OCCc3ccc(Cl)cc3)c2)cc1C,CCOC(=O)COc1ccc(Sc2cc(C#CCN3CCOCC3)cc(Oc3ccc(C(F)(F)F)cn3)c2)cc1C
O=C1CCC2C(S(=O)(=O)c3ccccc3)CC1(c1ccc(F)cc1)N2Cc1ccccc1>CCOCC.CO.[BH4-].[Na+],O=S(=O)(c1ccccc1)C1CC2(c3ccc(F)cc3)C(O)CCC1N2Cc1ccccc1
CC(C(=O)O)(c1ccc(N2CCOCC2)cc1)c1ccc(N2CCOCC2)cc1>Cc1ccccc1.O=[Pb]=O,C=C(c1ccc(N2CCOCC2)cc1)c1ccc(N2CCOCC2)cc1
CC(C)n1cc(C(=O)O)c2ccc(F)cc21.Nc1nccs1>ClCCl.O=C1CCC(=O)N1Br.c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(C)n1cc(C(=O)Nc2nccs2)c2ccc(F)cc21
Nc1ccc(Cl)cn1.O=C(O)c1ccc(Cl)cc1[N+](=O)[O-]>CN(C)C=O.ClCCl.O=C(Cl)C(=O)Cl.c1ccncc1,O=C(Nc1ccc(Cl)cn1)c1ccc(Cl)cc1[N+](=O)[O-]
CC(C)[Si](OCc1cc(C2OC(COCc3ccccc3)C(OCc3ccccc3)C(OCc3ccccc3)C2OCc2ccccc2)ccc1Cl)(C(C)C)C(C)C>C1CCOC1.CCCC[N+](CCCC)(CCCC)CCCC.[F-],OCc1cc(C2OC(COCc3ccccc3)C(OCc3ccccc3)C(OCc3ccccc3)C2OCc2ccccc2)ccc1Cl
CC1CCCNC1.O=Cc1cccc(Br)n1>,CC1CCCN(Cc2cccc(Br)n2)C1
CC(C)(C)OC(=O)NC(CC(=O)N1CCn2c(C(F)(F)F)nc(C(=O)O)c2C1)Cc1cc(F)c(F)cc1F.Cl>CCO,NC(CC(=O)N1CCn2c(C(F)(F)F)nc(C(=O)O)c2C1)Cc1cc(F)c(F)cc1F
CSc1nccc(C(O)c2cccc(C#N)c2)n1.ClC(Cl)(Cl)Cl>,CSc1nccc(C(Cl)c2cccc(C#N)c2)n1
FC1(F)CC12CCNc1ccccc12.O=C(Cl)Cl.c1n[nH]cc1C1CCNC1>CCN(CC)CC.Cc1ccccc1.Cl.Cl.ClCCl.c1ccncc1,O=C(N1CCC(c2cn[nH]c2)C1)N1CCC2(CC2(F)F)c2ccccc21
CC1(C)CC(CCS(=O)(=O)[O-])CO1.NCCN>CC#N.O.O=C([O-])[O-].[K+].[K+],CC1(C)CC(CNCCN)CO1
CC1(C)OCC(C2CC(=O)N2[Si](C)(C)C(C)(C)C)O1.CC=O>C1CCOC1.CC(C)NC(C)C.CCCCCC.[Li]CCCC,CC(O)C1C(=O)N([Si](C)(C)C(C)(C)C)C1C1COC(C)(C)O1
COC(=O)CCCCCCCCCCBr.[N-]=[N+]=[N-]>CS(C)=O.O.[Na+],COC(=O)CCCCCCCCCCN=[N+]=[N-]
COc1cc2c(cc1OC)CC(=O)N(CCCNCCCNc1ccccc1)CC2.[BH3-]C#N>[Na+],COc1cc2c(cc1OC)CC(=O)N(CCCN(C)CCCNc1ccccc1)CC2
Brc1cccnc1.O=C(c1ccccc1)c1ccccc1>C1CCOC1.[Li]CCCC,OC(c1ccccc1)(c1ccccc1)c1cccnc1
CCOC(=O)c1cccc(F)c1CBr.Oc1cccc(F)c1>CCO.O.[Na],CCOC(=O)c1cccc(F)c1COc1cccc(F)c1
CCOc1cccc(OCC)c1C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.O=Cc1cccc(CCCN2C(=O)c3ccccc3C2=O)c1>C1CCOC1.CC(C)(C)[O-].[Br-].[K+],CCOc1cccc(OCC)c1C=Cc1cccc(CCCN2C(=O)c3ccccc3C2=O)c1
CC(=O)OC1CSC(Oc2cccnc2[N+](=O)[O-])C(OC(C)=O)C1OC(C)=O>C1CCOC1,CC(=O)OC1CSC(Oc2cccnc2N)C(OC(C)=O)C1OC(C)=O
CC(C)C(O)(c1ccc(B(O)O)cc1)c1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1.CNC(=O)c1cccc(Br)c1>c1ccc(P(c2ccccc2)(c2ccccc2)[Pd](P(c2ccccc2)(c2ccccc2)c2ccccc2)(P(c2ccccc2)(c2ccccc2)c2ccccc2)P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CNC(=O)c1cccc(-c2ccc(C(O)(c3cn(C(c4ccccc4)(c4ccccc4)c4ccccc4)cn3)C(C)C)cc2)c1
CS(=O)(=O)c1cc(Br)ccc1-c1ccccc1.OB(O)c1ccc(Cl)cc1>CS(=O)(=O)c1cc(Br)ccc1I,CS(=O)(=O)c1cc(Br)ccc1-c1ccc(Cl)cc1
C=CCBr.CCOC(=O)C1(CC)CCCN(CC2COc3ccccc3O2)C1>,C=CCC1(C(=O)OCC)CCCN(CC2COc3ccccc3O2)C1
CC(C)S(=O)(=O)Cl.Nc1ccc(C(=O)c2ccccc2)cc1N>CC#N.CCOC(C)=O.[Na+].[OH-].c1ccncc1,CC(C)S(=O)(=O)Nc1cc(C(=O)c2ccccc2)ccc1N
Nc1ccc(C(=O)O)cc1.O=C(Cl)c1ccc([N+](=O)[O-])cc1>,O=C(O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)cc1
COC(=O)CCCCCCNCc1ccc(-c2nccs2)cc1.O=S(=O)(Cl)c1cccnc1>Cl,COC(=O)CCCCCCN(Cc1ccc(-c2nccs2)cc1)S(=O)(=O)c1cccnc1
CCOc1ccc2c(c1)C(=O)Cc1c(Cl)cccc1S2>CO.ClC(Cl)Cl.O,CCOc1ccc2c(c1)C(O)Cc1c(Cl)cccc1S2
Cc1cn2cccc(OCc3c(Cl)cccc3Cl)c2n1.O=C1CCC(=O)N1Cl>CCO.O,Cc1nc2c(OCc3c(Cl)cccc3Cl)cccn2c1Cl
COC(=O)c1ccc(OC)cc1OC>CCO.Cl.ClC(Cl)Cl.O.[Na+].[OH-],COc1ccc(C(=O)O)c(OC)c1
CI.Nc1cc2nc[nH]c(=S)c2cn1>CS(C)=O,CSc1ncnc2cc(N)ncc12
COc1ccccc1COCCCOc1ccc(C2CCN(C(=O)OC(C)(C)C)CC2OCc2ccc3c(c2)N(CCO)CCC3)cc1>CO.Cl,COc1ccccc1COCCCOc1ccc(C2CCNCC2OCc2ccc3c(c2)N(CCO)CCC3)cc1
COc1nccc(N)n1.N#Cc1cnc(Cl)s1>C1CCOC1.[H-].[Na+],COc1nccc(Nc2ncc(C#N)s2)n1
CCCc1cnc(N2CCC(Oc3ccn(-c4ccc(SC)cc4)c(=O)c3)CC2)nc1.O=C(OO)c1cccc(Cl)c1>ClCCl,CCCc1cnc(N2CCC(Oc3ccn(-c4ccc(S(C)=O)cc4)c(=O)c3)CC2)nc1
C1CNCCN1.CCN(CC)c1nc(Cl)cc(Cl)n1>CCO,CCN(CC)c1nc(Cl)cc(N2CCNCC2)n1
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1.CN(C)P(=O)(N(C)C)N(C)C>CI.O.[Na],COC(=O)C(C)c1ccc(C(=O)c2cccs2)cc1
COC(=O)c1cc(-c2ccccc2)c(=O)n2c1-c1sccc1SC(Cl)C2>C1CN=C2CCCN2C1.CS(C)=O,COC(=O)c1cc(-c2ccccc2)c(=O)n2c1-c1sccc1SC=C2
CC(C)(C)OC(=O)N1CCC2(CC1)CC(OS(C)(=O)=O)C2.Oc1ccccc1F>CN(C)C=O.O.[H-].[Na+],CC(C)(C)OC(=O)N1CCC2(CC1)CC(Oc1ccccc1F)C2
CC(=O)CCc1cccc(Cl)c1.Cc1noc(-c2ccc(Br)cc2)c1N>,Cc1noc(-c2ccc(Br)cc2)c1NC(C)CCc1cccc(Cl)c1
COC(=O)c1c(S(=O)(=O)Cl)n[nH]c1NC(C)=O.Nc1c(F)cccc1F>c1ccncc1,COC(=O)c1c(S(=O)(=O)Nc2c(F)cccc2F)n[nH]c1NC(C)=O
CC1=CCCc2ccccc21>C1CCOC1.[H][H].[Li]CCCC.[SiH3]c1ccccc1,CC1CCCc2ccccc21
CCOC(=O)C(Sc1ccc(OC)cc1)C(C)C>CO.[Na+].[OH-],COc1ccc(SC(C(=O)O)C(C)C)cc1
N#Cc1ccc(N2CC=C(N3CCCC3)CC2)cc1>CCCC[N+](CCCC)(CCCC)CCCC.Cl.ClCCl.O=C([O-])[O-].[BH3-]C#N.[Na+].[Na+],N#Cc1ccc(N2CCC(N3CCCC3)CC2)cc1
CCOC(=O)N1C2CCC1CC(=O)C2>CO,CCOC(=O)N1C2CCC1CC(O)C2
CS(C)(=N)=O.O=C(Cl)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]>COCCOC.[K],CS(C)(=O)=NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
C=CC(=O)Cl.CCCCC(CO)(Cn1cncn1)c1ccc(Cl)cc1>C1CCOC1.CN(C)C=O.c1ccncc1,C=CC(=O)OCC(CCCC)(Cn1cncn1)c1ccc(Cl)cc1
CC(C)(C)OC(=O)N1CCNCC1.O=S(=O)(O)CCCCl>CCN(CC)CC.ClCCl.[Cl-],CC(C)(C)OC(=O)N1CCN(S(=O)(=O)CCCCl)CC1
CCCc1c(Cc2ccc(-c3ccccc3C#N)cc2)c(=O)n(C2CCC(=O)CC2)c2ncnn12.OC1CCCC1O>Cc1ccc(S(=O)(=O)O)cc1.Cc1ccccc1.O,CCCc1c(Cc2ccc(-c3ccccc3C#N)cc2)c(=O)n(C2CCC3(CC2)OC2CCCC2O3)c2ncnn12
CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)c2cc(Cl)c(Cl)cc2CC1C.CN=C=O>,CNC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)c2cc(Cl)c(Cl)cc2CC1C
CS(N)(=O)=O.Cc1nc2c(C(=O)O)cc(N3CCOCC3)cc2n1Cc1cccc2ccccc12>CN(C)C=O.CN(C)c1ccncc1.ClCCCl,Cc1nc2c(C(=O)NS(C)(=O)=O)cc(N3CCOCC3)cc2n1Cc1cccc2ccccc12
COc1ccc(C#N)cc1S(=O)(=O)NCCc1ccc(Br)cc1[N+](=O)[O-]>C1CCOC1.CC(=O)O.Cl.N.[Zn],COc1ccc(C#N)cc1S(=O)(=O)NCCc1ccc(Br)cc1N
CC(C)(C)OC(=O)C=CCON=C(C(=O)O)c1csc(NC=O)n1>CCCCCC.CCO.CCOC(C)=O.O,CC(C)(C)OC(=O)CCCON=C(C(=O)O)c1csc(NC=O)n1
Fc1ccc(Br)cn1.OC1CCNC1>C1CCOC1.CCN(CC)CC.CCOC(C)=O,OC1CCN(c2ccc(Br)cn2)C1
ClCc1ccc(Cl)cc1Cl.Nc1ccc(C(=O)O)c(Cl)c1.O>CCN(C(C)C)C(C)C.ClCCl,O=C(O)c1ccc(NC(=O)c2ccc(Cl)cc2Cl)cc1Cl
CC(C)(C)OC(=O)Nc1cc(C(F)(F)F)c(Cl)cc1NC(=O)CC(=O)c1cccc(-c2cncnc2)c1>ClCCl.O=C(O)C(F)(F)F,O=C1CC(c2cccc(-c3cncnc3)c2)=Nc2cc(C(F)(F)F)c(Cl)cc2N1
Cc1cccc(C(=O)O)c1.O=C1CCC(=O)N1Br>ClC(Cl)Cl,O=C(O)c1cccc(CBr)c1
FC(F)(F)c1ccccc1NC1CCNCC1.O=C(NCCCC1CC1)c1ccc(Cl)nn1>,Cl.O=C(NCCCC1CC1)c1ccc(N2CCC(Nc3ccccc3C(F)(F)F)CC2)nn1
CCCCc1ncc(CCC(=O)OCC)n1Cc1ccccc1Cl>CCO.Cl.O.[Na+].[OH-],CCCCc1ncc(CCC(=O)O)n1Cc1ccccc1Cl
CC(C)(C)OC(=O)NN.CSCCC(NC(=O)OC(C)(C)C)C(=O)O>CC#N,CSCCC(NC(=O)OC(C)(C)C)C(=O)NNC(=O)OC(C)(C)C
CCOC(=O)c1ccc(NCCCCCCCCCCc2ccccc2)cc1>CCO.Cl.O.O.[K+].[OH-],O=C(O)c1ccc(NCCCCCCCCCCc2ccccc2)cc1
CC(C#N)c1ccc(O)c(N)c1.O=C(Cl)Cc1ccccc1>c1ccncc1,CC(C#N)c1ccc(O)c(NC(=O)Cc2ccccc2)c1
COc1ccc(-c2sc(C3OCCO3)c(-c3cccc(OC)c3)c2C)cc1>CC(C)=O.Cc1ccc(S(=O)(=O)[O-])cc1.c1cc[nH+]cc1,COc1ccc(-c2sc(C=O)c(-c3cccc(OC)c3)c2C)cc1
NC(=O)c1c(I)c(N)c(I)c(C(=O)O)c1I.O=S(Cl)Cl>CCOC(C)=O.CN(C)C(=O)N(C)C.O,NC(=O)c1c(I)c(N)c(I)c(C(=O)Cl)c1I
CC(C)(C)OC(=O)N1CCC(N)CC1.Cc1cc(Cl)nc2ccccc12>CC(=O)[O-].CC(=O)[O-].COCCOC.[Pd+2],Cc1cc(NC2CCN(C(=O)OC(C)(C)C)CC2)nc2ccccc12
CNOC.O=C(O)c1ccc2cc[nH]c2c1>C1CCOC1.CCN=C=NCCCN(C)C.Cl.c1ccncc1,CON(C)C(=O)c1ccc2cc[nH]c2c1
COC(=O)Cc1ccc(OCC(C)=O)cc1.NCC(O)c1cc(Cl)cc(Cl)c1>CO.[BH3-]C#N.[Na+].c1ccccc1,COC(=O)Cc1ccc(OCC(C)NCC(O)c2cc(Cl)cc(Cl)c2)cc1
